0	0	0
1	0	0
2	0	0
4	0	0
5	0	0
7	0	0
8	0	0
10	0	0
11	0	0
13	0	0
14	0	0
15	0	0
17	0	0
18	0	0
20	0	1
21	0	1
23	0	1
24	0	1
26	0	1
27	0	2
28	0	2
30	0	2
31	0	2
33	0	2
34	0	3
36	0	3
37	0	3
39	0	4
40	0	4
42	0	4
43	0	5
44	0	5
46	0	5
47	0	6
49	0	6
50	0	6
52	0	7
53	0	7
55	0	8
56	0	8
57	0	8
59	0	9
60	0	9
62	0	10
63	0	10
65	0	11
66	0	11
68	0	12
69	0	13
70	0	13
72	0	14
73	0	14
75	0	15
76	0	15
78	0	16
79	0	17
81	0	17
82	0	18
84	0	19
85	0	19
86	0	20
88	0	21
89	0	21
91	0	22
92	0	23
94	0	24
95	0	24
97	0	25
98	0	26
99	0	26
101	0	27
102	0	28
104	0	29
105	0	30
107	0	31
108	0	31
110	0	32
111	0	33
113	0	34
114	0	35
115	0	36
117	0	37
118	0	38
120	0	39
121	0	40
123	0	41
124	0	41
126	0	43
127	0	43
128	0	44
130	0	46
131	0	46
133	0	48
134	0	49
136	0	50
137	0	51
139	0	52
140	0	53
141	0	54
143	0	55
144	0	56
146	0	58
147	0	59
149	0	60
150	0	61
152	0	62
153	0	63
155	0	65
156	0	66
157	0	67
159	0	68
160	0	69
162	0	71
163	0	72
165	0	74
166	0	75
168	0	76
169	0	77
170	0	78
172	0	80
173	0	81
175	1	83
176	3	84
178	5	86
179	7	87
181	9	89
182	11	90
184	13	91
185	15	93
186	17	94
188	18	96
189	20	97
191	22	99
192	24	100
194	26	102
195	28	103
197	30	105
198	32	106
199	34	108
201	35	109
202	37	111
204	39	113
205	41	114
207	43	116
208	45	117
210	47	119
211	49	121
212	51	122
214	52	124
215	54	126
217	56	128
218	58	129
220	60	131
221	62	133
223	64	135
224	66	136
226	68	138
227	69	140
228	71	141
230	73	143
231	75	145
233	77	147
234	79	149
236	81	151
237	83	153
239	85	155
240	86	156
241	88	158
243	90	160
244	92	162
246	94	164
247	96	166
249	98	168
250	100	170
252	102	172
253	103	174
255	105	176
255	107	177
255	109	178
255	111	179
255	113	180
255	115	181
255	117	182
255	119	183
255	120	184
255	122	185
255	124	186
255	126	187
255	128	188
255	130	189
255	132	190
255	134	191
255	136	192
255	137	193
255	139	194
255	141	195
255	143	196
255	145	197
255	147	198
255	149	199
255	151	200
255	153	201
255	154	202
255	156	203
255	158	204
255	160	205
255	162	206
255	164	207
255	166	208
255	168	209
255	170	210
255	171	211
255	173	212
255	175	213
255	177	214
255	179	215
255	181	216
255	183	217
255	185	218
255	187	219
255	188	220
255	190	221
255	192	222
255	194	223
255	196	224
255	198	225
255	200	226
255	202	227
255	204	228
255	205	229
255	207	230
255	209	231
255	211	232
255	213	233
255	215	234
255	217	235
255	219	236
255	221	237
255	222	238
255	224	239
255	226	240
255	228	241
255	230	242
255	232	243
255	234	244
255	236	245
255	238	246
255	239	247
255	241	248
255	243	249
255	245	250
255	247	251
255	249	252
255	251	253
255	253	254
255	255	255
